Year of Date Completed,Total Nameplate (kW DC),Running Sum of Total Nameplate (kW DC),Number of Projects,Running Sum of Number of Projects,Expected Production (GWh),Running Sum of Expected Production (GWh),Incentive per Watt,Cost per Watt
2000,2.4,2.4,2,2,0.0,0.0,3.0,8.81
2001,33.24,35.64,13,15,0.0,0.0,2.99,7.68
2002,829.26,864.9,184,199,1.0,1.0,5.97,8.03
2003,988.81,1853.71,186,385,1.0,2.0,4.87,7.32
2004,1260.54,3114.25,252,637,1.0,3.0,4.42,6.57
2005,1458.64,4572.89,246,883,2.0,5.0,4.16,6.66
2006,2835.97,7408.86,452,1335,3.0,8.0,4.0,7.68
2007,3865.31,11274.17,651,1986,4.0,13.0,3.91,8.23
2008,6067.79,17341.96,938,2924,7.0,19.0,3.84,7.75
2009,12041.89,29383.85,1582,4506,14.0,33.0,3.7,8.1
2010,23121.35,52505.2,2356,6862,25.0,59.0,3.15,7.1
2011,31700.01,84205.21,2393,9255,36.0,95.0,1.8,5.37
2012,45165.25,129370.46,3286,12541,53.0,148.0,1.5,4.95
2013,74512.09,203882.55,4373,16914,83.0,230.0,1.18,4.09
2014,121175.38,325057.93,9419,26333,132.0,362.0,0.87,4.09
2015,200007.05,525064.98,18308,44641,220.0,582.0,0.62,4.07
2016,227380.24,752445.22,20478,65119,257.0,839.0,0.4,3.77
2017,231257.88,983703.1,13585,78704,258.0,1097.0,0.4,3.15
2018,283333.82,1267036.92,10688,89392,320.0,1417.0,0.33,2.68
2019,395269.13,1662306.05,10625,100017,457.0,1874.0,0.32,2.23
2020,401690.08,2063996.13,9234,109251,466.0,2340.0,0.29,2.01
2021,557397.17,2621393.3,11649,120900,660.0,3000.0,0.31,1.88
2022,747069.51,3368462.81,12950,133850,898.0,3898.0,0.29,1.8
2023,749706.63,4118169.44,18803,152653,920.0,4818.0,0.3,1.89
2024,925798.78,5043968.22,16578,169231,1170.0,5988.0,0.3,1.85
2025,1044777.42,6088745.64,14243,183474,1326.0,7313.0,0.27,1.82
